Kingdom	Phylum	Class	Order	Family	Genus	Id
 k__Fungi	 p__Ascomycota	 c__Eurotiomycetes	 o__Eurotiales	 f__Trichocomaceae	 g__Trichocoma	OTU_950
 k__Fungi	 p__Chytridiomycota	 c__Chytridiomycetes	 o__Spizellomycetales	 f__Spizellomycetaceae	 g__Spizellomyces	OTU_89
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Ophiostomatales	 f__Ophiostomataceae	 g__Ophiostoma	OTU_35
 k__Fungi	 p__Ascomycota	 c__Pezizomycetes	 o__Pezizales	 f__Pyronemataceae	 g__Paurocotylis	OTU_918
 k__Fungi	 p__Ascomycota	 c__Eurotiomycetes	 o__Pyrenulales	 f__Massariaceae	 g__Massaria	OTU_503
 k__Fungi	 p__Ascomycota	 c__Pezizomycetes	 o__Pezizales	 f__Morchellaceae	 g__Mitrophora	OTU_73
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Ophiostomatales	 f__Ophiostomataceae	 g__Ophiostoma	OTU_52
 k__Fungi	 p__Glomeromycota	 c__Glomeromycetes	 o__Diversisporales	 f__Gigasporaceae	 g__Gigaspora	OTU_61
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Agaricales	 f__Cortinariaceae	 g__Tubaria	OTU_1924
 k__Fungi	 p__Basidiomycota	 c__Microbotryomycetes	 o__Microbotryales	 f__Microbotryaceae	 g__Microbotryum	OTU_3720
 k__Fungi	 p__Basidiomycota	 c__Tremellomycetes	 o__Filobasidiales	 f__Filobasidiaceae	 g__Cryptococcus g2 / Filobasidium	OTU_472
 k__Fungi	 p__Ascomycota	 c__Pezizomycetes	 o__Pezizales	 f__Pyronemataceae	 g__Genea	OTU_83
 k__Fungi	 p__Ascomycota	 c__Pezizomycetes	 o__Pezizales	 f__Pezizaceae	 g__Peziza	OTU_108
 k__Fungi	 p__Basidiomycota	 c__Microbotryomycetes	 o__Microbotryales	 f__Microbotryaceae	 g__Microbotryum	OTU_322
 k__Fungi	 p__Ascomycota	 c__Dothideomycetes	 o__Pleosporales	 f__Pleosporaceae	 g__Bipolaris	OTU_209
 k__Fungi	 p__Chytridiomycota	 c__Chytridiomycetes	 o__Spizellomycetales	 f__Spizellomycetaceae	 g__Spizellomyces	OTU_227
 k__Fungi	 p__Chytridiomycota	 c__Chytridiomycetes	 o__Spizellomycetales	 f__Spizellomycetaceae	 g__Spizellomyces	OTU_140
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Sordariales	 f__Lasiosphaeriaceae	 g__Cladorrhinum	OTU_257
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Russulales	 f__Stereaceae	 g__Vesiculomyces	OTU_1550
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mucorales	 f__Pilobolaceae	 g__Pilobolus	OTU_122
 k__Fungi	 p__Ascomycota	 c__Dothideomycetes	 o__Myriangiales	 f__Elsinoaceae	 g__Elsinoe	OTU_327
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Hymenochaetales	 f__Hymenochaetaceae	 g__Hymenochaete	OTU_225
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Geastrales	 f__Geastraceae	 g__Geastrum	OTU_204
 k__Fungi	 p__Basidiomycota	 c__Pucciniomycetes	 o__Pucciniales	 f__Coleosporiaceae	 g__Chrysomyxa	OTU_188
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Agaricales	 f__Inocybaceae	 g__Inocybe	OTU_508
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Agaricales	 f__Tricholomataceae	 g__Tricholoma	OTU_305
 k__Fungi	 p__Ascomycota	 c__Eurotiomycetes	 o__Pyrenulales	 f__Massariaceae	 g__Massaria	OTU_380
 k__Fungi	 p__Ascomycota	 c__Pezizomycetes	 o__Pezizales	 f__Pyronemataceae	 g__Geopora	OTU_236
 k__Fungi	 p__Ascomycota	 c__Eurotiomycetes	 o__Eurotiales	 f__Trichocomaceae	 g__Penicillium	OTU_803
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mucorales	 f__Backusellaceae	 g__Backusella	OTU_330
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mucorales	 f__Pilobolaceae	 g__Pilobolus	OTU_272
 k__Fungi	 p__Ascomycota	 c__Pezizomycetes	 o__Pezizales	 f__Tuberaceae	 g__Tuber	OTU_1821
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Agaricales	 f__Cortinariaceae	 g__Cortinarius	OTU_310
 k__Fungi	 p__Ascomycota	 c__Dothideomycetes	 o__Capnodiales	 f__Mycosphaerellaceae	 g__Guignardia	OTU_119
 k__Fungi	 p__Ascomycota	 c__Saccharomycetes	 o__Saccharomycetales	 f__Trichomonascaceae	 g__Zygoascus	OTU_159
 k__Fungi	 p__Chytridiomycota	 c__Chytridiomycetes	 o__Spizellomycetales	 f__Spizellomycetaceae	 g__Spizellomyces	OTU_197
 k__Fungi	 p__Basidiomycota	 c__Tremellomycetes	 o__Cystofilobasidiales	 f__Cystofilobasidiaceae	 g__Udeniomyces	OTU_1272
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mucorales	 f__Pilobolaceae	 g__Pilobolus	OTU_271
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Xylariales	 f__Xylariaceae	 g__Hypoxylon	OTU_226
 k__Fungi	 p__Ascomycota	 c__Lecanoromycetes	 o__Peltigerales	 f__Peltigeraceae	 g__Peltigera	OTU_439
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Hymenochaetales	 f__Hymenochaetaceae	 g__Pseudochaete	OTU_427
 k__Fungi	 p__Ascomycota	 c__Dothideomycetes	 o__Botryosphaeriales	 f__Botryosphaeriaceae	 g__Fusicoccum	OTU_1639
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mucorales	 f__Syncephalastraceae	 g__Circinella	OTU_217
 k__Fungi	 p__Chytridiomycota	 c__Chytridiomycetes	 o__Spizellomycetales	 f__Spizellomycetaceae	 g__Powellomyces	OTU_1116
 k__Fungi	 p__Ascomycota	 c__Leotiomycetes	 o__Helotiales	 f__Helotiales_Incertae sedis	 g__Leptodontidium	OTU_69
 k__Fungi	 p__Basidiomycota	 c__Microbotryomycetes	 o__Leucosporidiales	 f__Leucosporidiaceae	 g__Leucosporidiella	OTU_155
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Agaricales	 f__Mycenaceae	 g__Mycena	OTU_142
 k__Fungi	 p__Ascomycota	 c__Saccharomycetes	 o__Saccharomycetales	 f__Saccharomycetales_Incertae sedis	 g__Cyberlindnera	OTU_2341
 k__Fungi	 p__Chytridiomycota	 c__Chytridiomycetes	 o__Spizellomycetales	 f__Spizellomycetaceae	 g__Spizellomyces	OTU_203
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Xylariales	 f__Xylariaceae	 g__Hypoxylon	OTU_321
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mucorales	 f__Mucoraceae	 g__Mucor	OTU_137
 k__Fungi	 p__Chytridiomycota	 c__Chytridiomycetes	 o__Spizellomycetales	 f__Spizellomycetaceae	 g__Spizellomyces	OTU_219
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mucorales	 f__Backusellaceae	 g__Backusella	OTU_111
 k__Fungi	 p__Ascomycota	 c__Eurotiomycetes	 o__Pyrenulales	 f__Massariaceae	 g__Massaria	OTU_687
 k__Fungi	 p__Basidiomycota	 c__Pucciniomycetes	 o__Pucciniales	 f__Pucciniastraceae	 g__Pucciniastrum	OTU_533
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Agaricales	 f__Marasmiaceae	 g__Oudemansiella	OTU_120
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Agaricales	 f__Tricholomataceae	 g__Tricholoma	OTU_311
 k__Fungi	 p__Ascomycota	 c__Pezizomycetes	 o__Pezizales	 f__Pyronemataceae	 g__Genea	OTU_809
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Agaricales	 f__Strophariaceae	 g__Psilocybe	OTU_1460
 k__Fungi	 p__Ascomycota	 c__Saccharomycetes	 o__Saccharomycetales	 f__Trichomonascaceae	 g__Blastobotrys	OTU_915
 k__Fungi	 p__Basidiomycota	 c__Ustilaginomycetes	 o__Ustilaginales	 f__Ustilaginales_Incertae sedis	 g__Farysizyma	OTU_341
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Agaricales	 f__Cortinariaceae	 g__Galerina	OTU_559
 k__Fungi	 p__Basidiomycota	 c__Pucciniomycetes	 o__Pucciniales	 f__Pucciniaceae	 g__Puccinia	OTU_651
 k__Fungi	 p__Ascomycota	 c__Saccharomycetes	 o__Saccharomycetales	 f__Saccharomycetaceae	 g__Lachancea	OTU_195
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Cantharellales	 f__Ceratobasidiaceae	 g__Thanatephorus	OTU_356
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Agaricales	 f__Agaricaceae	 g__Leucoagaricus	OTU_1227
 k__Fungi	 p__Ascomycota	 c__Saccharomycetes	 o__Saccharomycetales	 f__Saccharomycetaceae	 g__Saccharomyces	OTU_1557
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mucorales	 f__Backusellaceae	 g__Backusella	OTU_141
 k__Fungi	 p__Basidiomycota	 c__Exobasidiomycetes	 o__Tilletiales	 f__Tilletiaceae	 g__Tilletia	OTU_857
 k__Fungi	 p__Ascomycota	 c__Lecanoromycetes	 o__Peltigerales	 f__Peltigeraceae	 g__Peltigera	OTU_2229
 k__Fungi	 p__Ascomycota	 c__Dothideomycetes	 o__Pleosporales	 f__Venturiaceae	 g__Protoventuria	OTU_3465
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mucorales	 f__Mucoraceae	 g__Pilaira	OTU_202
 k__Fungi	 p__Ascomycota	 c__Pezizomycetes	 o__Pezizales	 f__Morchellaceae	 g__Morchella	OTU_812
 k__Fungi	 p__Basidiomycota	 c__Agaricostilbomycetes	 o__Agaricostilbales	 f__Agaricostilbaceae	 g__Bensingtonia	OTU_395
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Hymenochaetales	 f__Hymenochaetaceae	 g__Pseudochaete	OTU_898
 k__Fungi	 p__Basidiomycota	 c__Pucciniomycetes	 o__Pucciniales	 f__Pucciniastraceae	 g__Pucciniastrum	OTU_999
 k__Fungi	 p__Ascomycota	 c__Lecanoromycetes	 o__Peltigerales	 f__Nephromataceae	 g__Nephroma	OTU_652
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Russulales	 f__Russulaceae	 g__Russula	OTU_386
 k__Fungi	 p__Ascomycota	 c__Eurotiomycetes	 o__Pyrenulales	 f__Massariaceae	 g__Massaria	OTU_960
 k__Fungi	 p__Ascomycota	 c__Saccharomycetes	 o__Saccharomycetales	 f__Trichomonascaceae	 g__Zygoascus	OTU_518
 k__Fungi	 p__Ascomycota	 c__Saccharomycetes	 o__Saccharomycetales	 f__Saccharomycetales_Incertae sedis	 g__Cyberlindnera	OTU_794
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Hypocreales	 f__Clavicipitaceae	 g__Metarhizium	OTU_258
 k__Fungi	 p__Ascomycota	 c__Saccharomycetes	 o__Saccharomycetales	 f__Saccharomycodaceae	 g__Hanseniaspora	OTU_275
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Hymenochaetales	 f__Hymenochaetaceae	 g__Pseudochaete	OTU_5137
 k__Fungi	 p__Basidiomycota	 c__Pucciniomycetes	 o__Pucciniales	 f__Melampsoraceae	 g__Melampsora	OTU_1843
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Russulales	 f__Lachnocladiaceae	 g__Asterostroma	OTU_562
 k__Fungi	 p__Ascomycota	 c__Saccharomycetes	 o__Saccharomycetales	 f__Saccharomycodaceae	 g__Hanseniaspora	OTU_990
 k__Fungi	 p__Ascomycota	 c__Saccharomycetes	 o__Saccharomycetales	 f__Saccharomycetales_Incertae sedis	 g__Candida	OTU_383
 k__Fungi	 p__Ascomycota	 c__Pezizomycetes	 o__Pezizales	 f__Morchellaceae	 g__Morchella	OTU_126
 k__Fungi	 p__Chytridiomycota	 c__Chytridiomycetes	 o__Spizellomycetales	 f__Spizellomycetaceae	 g__Powellomyces	OTU_1979
 k__Fungi	 p__Basidiomycota	 c__Ustilaginomycetes	 o__Ustilaginales	 f__Melanotaeniaceae	 g__Melanotaenium	OTU_850
 k__Fungi	 p__Ascomycota	 c__Dothideomycetes	 o__Pleosporales	 f__Pleosporaceae	 g__Drechslera / Pyrenophora	OTU_206
 k__Fungi	 p__Basidiomycota	 c__Microbotryomycetes	 o__Microbotryales	 f__Microbotryaceae	 g__Microbotryum	OTU_517
 k__Fungi	 p__Ascomycota	 c__Saccharomycetes	 o__Saccharomycetales	 f__Saccharomycetaceae	 g__Saccharomyces	OTU_1708
 k__Fungi	 p__Ascomycota	 c__Dothideomycetes	 o__Capnodiales	 f__Mycosphaerellaceae	 g__Passalora	OTU_1541
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Hypocreales	 f__Hypocreaceae	 g__Hypocrea	OTU_316
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Agaricales	 f__Entolomataceae	 g__Entoloma	OTU_1392
 k__Fungi	 p__Basidiomycota	 c__Microbotryomycetes	 o__Sporidiobolales	 f__Sporidiobolaceae	 g__Sporidiobolus	OTU_600
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mucorales	 f__Backusellaceae	 g__Backusella	OTU_1338
 k__Fungi	 p__Ascomycota	 c__Eurotiomycetes	 o__Chaetothyriales	 f__Herpotrichiellaceae	 g__Cladophialophora	OTU_169
 k__Fungi	 p__Basidiomycota	 c__Pucciniomycetes	 o__Pucciniales	 f__Pucciniaceae	 g__Uromyces	OTU_2844
 k__Fungi	 p__Ascomycota	 c__Saccharomycetes	 o__Saccharomycetales	 f__Saccharomycetales_Incertae sedis	 g__Candida	OTU_1920
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Agaricales	 f__Mycenaceae	 g__Mycena	OTU_368
 k__Fungi	 p__Basidiomycota	 c__Tremellomycetes	 o__Filobasidiales	 f__Filobasidiaceae	 g__Filobasidium	OTU_398
 k__Fungi	 p__Zygomycota	 c__Kickxellomycotina_Incertae sedis	 o__Kickxellales	 f__Kickxellaceae	 g__Coemansia	OTU_764
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mucorales	 f__Syncephalastraceae	 g__Circinella	OTU_187
 k__Fungi	 p__Glomeromycota	 c__Glomeromycetes	 o__Diversisporales	 f__Acaulosporaceae	 g__Acaulospora	OTU_337
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Agaricales	 f__Agaricaceae	 g__Agaricus	OTU_1518
 k__Fungi	 p__Ascomycota	 c__Dothideomycetes	 o__Dothideomycetes_Incertae sedis_Incertae sedis	 f__Dothideomycetes_Incertae sedis_Incertae sedis_Incertae sedis	 g__Naumovia	OTU_937
 k__Fungi	 p__Basidiomycota	 c__Ustilaginomycetes	 o__Ustilaginales	 f__Melanotaeniaceae	 g__Melanotaenium	OTU_402
 k__Fungi	 p__Ascomycota	 c__Taphrinomycetes	 o__Taphrinales	 f__Taphrinaceae	 g__Lalaria	OTU_861
 k__Fungi	 p__Ascomycota	 c__Dothideomycetes	 o__Pleosporales	 f__Pleosporaceae	 g__Drechslera / Pyrenophora	OTU_556
 k__Fungi	 p__Ascomycota	 c__Saccharomycetes	 o__Saccharomycetales	 f__Trichomonascaceae	 g__Zygoascus	OTU_294
 k__Fungi	 p__Ascomycota	 c__Pezizomycetes	 o__Pezizales	 f__Tuberaceae	 g__Dingleya	OTU_4131
 k__Fungi	 p__Ascomycota	 c__Lecanoromycetes	 o__Peltigerales	 f__Nephromataceae	 g__Nephroma	OTU_613
 k__Fungi	 p__Ascomycota	 c__Orbiliomycetes	 o__Orbiliales	 f__Orbiliaceae	 g__Arthrobotrys	OTU_717
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Agaricales	 f__Psathyrellaceae	 g__Coprinellus	OTU_660
 k__Fungi	 p__Zygomycota	 c__Zoopagomycotina_Incertae sedis	 o__Zoopagales	 f__Piptocephalidaceae	 g__Piptocephalis	OTU_519
 k__Fungi	 p__Chytridiomycota	 c__Chytridiomycetes	 o__Spizellomycetales	 f__Spizellomycetaceae	 g__Spizellomyces	OTU_172
 k__Fungi	 p__Chytridiomycota	 c__Chytridiomycetes	 o__Spizellomycetales	 f__Spizellomycetaceae	 g__Powellomyces	OTU_932
 k__Fungi	 p__Ascomycota	 c__Pezizomycetes	 o__Pezizales	 f__Pyronemataceae	 g__Scutellinia	OTU_228
 k__Fungi	 p__Ascomycota	 c__Pezizomycetes	 o__Pezizales	 f__Morchellaceae	 g__Morchella	OTU_907
 k__Fungi	 p__Chytridiomycota	 c__Chytridiomycetes	 o__Spizellomycetales	 f__Spizellomycetaceae	 g__Spizellomyces	OTU_283
 k__Fungi	 p__Ascomycota	 c__Eurotiomycetes	 o__Chaetothyriales	 f__Herpotrichiellaceae	 g__Cladophialophora	OTU_369
 k__Fungi	 p__Basidiomycota	 c__Ustilaginomycetes	 o__Ustilaginales	 f__Ustilaginaceae	 g__Ustilago	OTU_385
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Agaricales	 f__Lycoperdaceae	 g__Vascellum	OTU_796
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Agaricales	 f__Cortinariaceae	 g__Cortinarius	OTU_179
 k__Fungi	 p__Ascomycota	 c__Dothideomycetes	 o__Pleosporales	 f__Pleosporaceae	 g__Drechslera	OTU_133
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Russulales	 f__Russulaceae	 g__Lactifluus	OTU_3617
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Thelephorales	 f__Bankeraceae	 g__Phellodon	OTU_715
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Agaricales	 f__Pleurotaceae	 g__Pleurotus	OTU_3302
 k__Fungi	 p__Ascomycota	 c__Eurotiomycetes	 o__Pyrenulales	 f__Massariaceae	 g__Massaria	OTU_675
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mucorales	 f__Backusellaceae	 g__Backusella	OTU_2299
 k__Fungi	 p__Basidiomycota	 c__Agaricostilbomycetes	 o__Agaricostilbales	 f__Chionosphaeraceae	 g__Chionosphaera	OTU_1191
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Agaricales	 f__Marasmiaceae	 g__Armillaria	OTU_514
 k__Fungi	 p__Chytridiomycota	 c__Chytridiomycetes	 o__Rhizophydiales	 f__Rhizophydiaceae	 g__Rhizophydium	OTU_768
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Xylariales	 f__Diatrypaceae	 g__Eutypa	OTU_223
 k__Fungi	 p__Chytridiomycota	 c__Chytridiomycetes	 o__Spizellomycetales	 f__Spizellomycetaceae	 g__Spizellomyces	OTU_261
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Xylariales	 f__Diatrypaceae	 g__Eutypa	OTU_1213
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mucorales	 f__Rhizopodaceae	 g__Syzygites	OTU_507
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mucorales	 f__Backusellaceae	 g__Backusella	OTU_4522
 k__Fungi	 p__Ascomycota	 c__Eurotiomycetes	 o__Pyrenulales	 f__Massariaceae	 g__Massaria	OTU_241
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mucorales	 f__Pilobolaceae	 g__Pilobolus	OTU_4507
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Cantharellales	 f__Ceratobasidiaceae	 g__Ceratobasidium	OTU_470
 k__Fungi	 p__Chytridiomycota	 c__Chytridiomycetes	 o__Spizellomycetales	 f__Spizellomycetaceae	 g__Kochiomyces	OTU_442
 k__Fungi	 p__Ascomycota	 c__Eurotiomycetes	 o__Onygenales	 f__Arthrodermataceae	 g__Epidermophyton	OTU_1061
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Agaricales	 f__Entolomataceae	 g__Clitopilus	OTU_1932
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mucorales	 f__Backusellaceae	 g__Backusella	OTU_798
 k__Fungi	 p__Basidiomycota	 c__Agaricostilbomycetes	 o__Agaricostilbales	 f__Agaricostilbaceae	 g__Bensingtonia	OTU_4000
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Polyporales	 f__Meruliaceae	 g__Cylindrobasidium	OTU_931
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Agaricales	 f__Marasmiaceae	 g__Megacollybia	OTU_430
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Hypocreales	 f__Nectriaceae	 g__Cylindrocladiella	OTU_347
 k__Fungi	 p__Ascomycota	 c__Dothideomycetes	 o__Capnodiales	 f__Mycosphaerellaceae	 g__Guignardia	OTU_164
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Cantharellales	 f__Ceratobasidiaceae	 g__Thanatephorus	OTU_4298
 k__Fungi	 p__Chytridiomycota	 c__Chytridiomycetes	 o__Spizellomycetales	 f__Spizellomycetaceae	 g__Spizellomyces	OTU_529
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Trechisporales	 f__Hydnodontaceae	 g__Sistotremastrum	OTU_976
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Agaricales	 f__Tricholomataceae	 g__Tricholoma	OTU_3757
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mucorales	 f__Mucoraceae	 g__Mucor	OTU_679
 k__Fungi	 p__Basidiomycota	 c__Agaricostilbomycetes	 o__Agaricostilbales	 f__Agaricostilbaceae	 g__Bensingtonia	OTU_340
 k__Fungi	 p__Chytridiomycota	 c__Chytridiomycetes	 o__Spizellomycetales	 f__Spizellomycetaceae	 g__Powellomyces	OTU_504
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Agaricales	 f__Amanitaceae	 g__Amanita	OTU_3124
 k__Fungi	 p__Basidiomycota	 c__Pucciniomycetes	 o__Pucciniales	 f__Pucciniaceae	 g__Puccinia	OTU_1628
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mucorales	 f__Pilobolaceae	 g__Pilobolus	OTU_433
 k__Fungi	 p__Ascomycota	 c__Eurotiomycetes	 o__Eurotiales	 f__Trichocomaceae	 g__Aspergillus	OTU_2115
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Agaricales	 f__Psathyrellaceae	 g__Coprinellus	OTU_5453
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Chaetosphaeriales	 f__Chaetosphaeriaceae	 g__Kylindria	OTU_657
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Polyporales	 f__Hyphodermataceae	 g__Hypochnicium	OTU_590
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Agaricales	 f__Coprinaceae	 g__Coprinus	OTU_791
 k__Fungi	 p__Ascomycota	 c__Pezizomycetes	 o__Pezizales	 f__Tuberaceae	 g__Tuber	OTU_1181
 k__Fungi	 p__Ascomycota	 c__Pezizomycetes	 o__Pezizales	 f__Morchellaceae	 g__Morchella	OTU_808
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Hypocreales	 f__Nectriaceae	 g__Fusarium	OTU_1966
 k__Fungi	 p__Ascomycota	 c__Saccharomycetes	 o__Saccharomycetales	 f__Saccharomycetaceae	 g__Zygosaccharomyces	OTU_2134
 k__Fungi	 p__Ascomycota	 c__Saccharomycetes	 o__Saccharomycetales	 f__Saccharomycetales_Incertae sedis	 g__Schizoblastosporion	OTU_2044
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Agaricales	 f__Inocybaceae	 g__Inocybe	OTU_1576
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Agaricales	 f__Marasmiaceae	 g__Megacollybia	OTU_419
 k__Fungi	 p__Glomeromycota	 c__Glomeromycetes	 o__Glomerales	 f__Glomeraceae	 g__Rhizophagus	OTU_154
 k__Fungi	 p__Ascomycota	 c__Eurotiomycetes	 o__Chaetothyriales	 f__Herpotrichiellaceae	 g__Cladophialophora	OTU_1739
 k__Fungi	 p__Basidiomycota	 c__Tremellomycetes	 o__Filobasidiales	 f__Filobasidiaceae	 g__Cryptococcus g2 / Filobasidium	OTU_603
