Label,Id,log2FoldChange,padj,padjtrans,Significance,Representative,Kingdom,Phylum,Class,Order,Family,Genus,PhylaColor,NLabels
NA,Sequence_15,0.570315434483811,0.550585452996771,0.259175267273763,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_31,-0.211674979709745,0.867339544759272,0.0618108522961503,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_17,0.674212179396071,1,0,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_18,0.882698825624842,1,0,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_19,0.037237448813869,0.360201840546183,0.443454072368765,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_20,-0.71206239446951,0.140415932541055,0.852583611422125,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_21,-0.384661277208078,1,0,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_37,0.631580586488409,0.858875503003021,0.0660697841050914,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_24,-0.130517304711783,1,0,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_26,-0.186149074227223,1,0,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_27,0.0871330394924775,1,0,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_28,-0.498246231991227,1,0,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_3,-0.0212473847968275,0.906033160240012,0.042855907129243,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_44,-0.494567970241549,0.386643846770925,0.412688896994267,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_45,-0.858593816988751,1,0,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_46,-0.140367008029402,1,0,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_33,0.105431922807752,1,0,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_34,-0.661022435856559,0.387882644007238,0.411299652677642,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_35,-0.415372714978082,0.684599453976238,0.164563451583186,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_36,-0.188542859943109,0.539800579394561,0.267766653629584,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_50,-1.35710212228811,0.339139015623897,0.469622244738376,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_39,0.447254054217998,0.434333535042265,0.362176637316236,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_65,0.499479561568187,0.663293686436636,0.178294136515554,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_40,0.158883614069699,0.645725210083251,0.189952257753497,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_42,-0.521748019267363,0.223598657915019,0.650530807502298,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_43,0.120358204391254,1,0,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_56,0.339044001209975,1,0,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_57,-0.0818443942507895,1,0,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_58,0.377545688152562,1,0,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_59,-0.0731760616224725,0.228266744161899,0.64155735561009,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_48,-0.745507748005696,0.425357676883063,0.371245724613244,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_49,0.657406626071466,1,0,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_5,0.133427790291774,1,0,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_62,-0.12759962256147,1,0,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_51,0.484741147054029,0.421057614934102,0.375658473912646,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_77,-0.395456814159322,1,0,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_53,-0.63765884436706,0.374573175003252,0.426463327775543,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_54,-1.41733080409523,1,0,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_55,-0.117588830999203,0.497038606382824,0.303609877085867,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_80,0.0623632176881558,0.921544695424181,0.0354835964130475,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_7,-0.94550039444174,0.239344692902561,0.620976197881993,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_70,0.28049643479745,1,0,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_96,-0.294173222451922,0.837760295786375,0.0768802261298342,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_6,-0.152437111462952,1,0,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_73,-1.03743452750231,0.352541859345634,0.452789309300905,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_61,-0.727160373479924,0.631567797968405,0.199580021667473,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_87,0.628170476023816,0.392789402012622,0.405840238577373,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_64,-0.813598907548575,0.458732201706576,0.338440772550363,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_89,-0.205925860255246,1,0,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_78,0.211888947676091,1,0,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_90,-2.17687212961342,0.345556304442966,0.461481179211247,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_68,-1.41227380912608,0.241753417218753,0.616627378387633,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_93,-0.0164374456254275,0.412340221666256,0.384744299941011,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_81,0.086886977270528,0.692477205741983,0.159594517690811,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_95,0.645720648552573,1,0,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_72,0.725847088143182,0.47726783698591,0.321237831693233,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_85,0.337190909674415,0.370072812273728,0.431712819560949,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_74,-0.120611729876231,1,0,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_76,-0.00754536349371798,0.394563291655823,0.403883321954807,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_84,-0.0782291975729649,0.651703705710232,0.185949809517015,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_94,-1.02368934533892,1,0,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_8,-1.32557999053839,0.311603208651856,0.506398078943565,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_88,0.818147842809067,0.425337462251664,0.371266364446407,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_97,0.642363013798407,0.49866946719179,0.302187222188829,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_92,0.348191113364205,0.736059806971655,0.133086896555822,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
