Plate,Well,row,column,Sample,Soil,Genotype,Plot,Fraction,OTU_Header,DADA2_Header,Phosphate,Pot,Depth,LDepth,CAP1,CAP2,CAP3,MDS1,MDS2,MDS3
Plate1,G4,g,4,L40,high-4,Col-0,Plot12,Shoot,P11Plate1,Plate1_G4,high,Pot40,67614,11.1215703411804,-0.198495148583951,-0.220223527264231,-0.196817320242052,-1.10784107664461,2.35420485370891,-0.851346482294939
Plate1,H2,h,2,L21,medium-3,Col-0,Plot8,Shoot,P77Plate1,Plate1_H2,medium,Pot21,64196,11.069696182441,-0.908105412563714,0.130043690094701,0.751973113082737,-0.0115294210368649,-0.621214039753886,1.32422957373289
Plate1,H4,h,4,L46,high-4,phr1/phl1,Plot12,Shoot,P88Plate1,Plate1_H4,high,Pot46,65854,11.095195449442,1.15436212493319,-0.587866572354761,0.162668322785954,-0.582825475638171,-1.80299621955461,-0.522737759415595
Plate1,H8,h,8,L37,high-1,Col-0,Plot3,Shoot,P2Plate1,Plate1_H8,high,Pot37,66729,11.1083949200218,-0.510394633327961,-0.0243953921016644,0.895478135949572,-0.397266911173443,-0.0533173550496081,-0.239386252371789
Plate1,H9,h,9,L65,low+Pi-5,phr1/phl1,Plot13,Shoot,P13Plate1,Plate1_H9,low+Pi,Pot65,67031,11.1129104779338,1.16367509326492,-1.6363981755255,0.23933541702249,-0.0161122129821655,0.339083563310949,-0.403986590782313
Plate2,A2,a,2,L45,high-3,phr1/phl1,Plot9,Shoot,P16Plate2,Plate2_A2,high,Pot45,46972,10.757306958485,1.55495815927772,0.148738499769411,-0.266897525926449,-0.0595878365911301,-0.220454444014499,-1.12930261368294
Plate2,A3,a,3,L36,medium-6,phf1,Plot17,Shoot,P87Plate2,Plate2_A3,medium,Pot36,52011,10.859210513654,-0.930615175335318,-0.209054338233762,-0.598934724755058,-0.0151424627650186,-0.729211152805012,0.215722087468251
Plate2,A5,a,5,L64,low+Pi-4,phr1/phl1,Plot10,Shoot,P42Plate2,Plate2_A5,low+Pi,Pot64,38391,10.5555783361057,1.34942475376173,-1.14071758480607,-0.060856432554112,0.538737336929055,0.329186827723973,-0.600426371111779
Plate2,A6,a,6,L58,low+Pi-4,Col-0,Plot10,Shoot,P9Plate2,Plate2_A6,low+Pi,Pot58,41668,10.6374887271043,-0.744976403124762,-1.94618637307725,-0.050252222899066,-1.79834876391938,0.398264554257181,1.20146025177228
Plate2,A9,a,9,L27,medium-3,phr1/phl1,Plot8,Shoot,P65Plate2,Plate2_A9,medium,Pot27,46974,10.757349536136,1.33256516005648,-0.253441947641428,0.115529064544436,-0.000304366506553509,0.212238367867486,-0.851418428074098
Plate2,B10,b,10,L71,low+Pi-5,phf1,Plot13,Shoot,P49Plate2,Plate2_B10,low+Pi,Pot71,29821,10.302968122297,-0.611768215266033,-0.276374173998591,-1.24581494135684,1.01614446998171,0.642498486862766,-0.00962378006059216
Plate2,B3,b,3,L20,medium-2,Col-0,Plot5,Shoot,P8Plate2,Plate2_B3,medium,Pot20,37135,10.5223152001034,0.148338839348285,0.54131860662621,1.46122916459591,0.968288581046197,1.00223178518431,0.407053521103779
Plate2,B4,b,4,L35,medium-5,phf1,Plot14,Shoot,P17Plate2,Plate2_B4,medium,Pot35,38207,10.5507740238805,-0.239000985025905,0.51521516749342,-0.796425706541499,0.687704408074837,-0.0888422730439166,-0.905625206896128
Plate2,C12,c,12,L34,medium-4,phf1,Plot11,Shoot,P14Plate2,Plate2_C12,medium,Pot34,45363,10.7224520737808,-0.30050184615124,0.919676468315655,-0.500349374674721,1.46900262873206,-0.40248908155423,-1.08702861597261
Plate2,C6,c,6,L10,low-4,phr1/phl1,Plot10,Shoot,P41Plate2,Plate2_C6,low,Pot10,50736,10.8343909967781,1.43286941699504,0.233795878410987,-0.382405450608479,-0.616200242113453,-0.499698057263778,-0.630302452685755
Plate2,C7,c,7,L69,low+Pi-3,phf1,Plot7,Shoot,P27Plate2,Plate2_C7,low+Pi,Pot69,39716,10.5895094081535,-0.57205843238984,-1.69230326333467,-0.915985935325665,-0.56724938275309,-1.46561847972419,0.879532709343539
Plate2,C8,c,8,L60,low+Pi-6,Col-0,Plot16,Shoot,P57Plate2,Plate2_C8,low+Pi,Pot60,52892,10.8760073776767,-0.641224743060736,-1.12635882973965,1.45670905012447,0.272656107598409,-1.47677707969362,-0.853761890953471
Plate2,C9,c,9,L52,high-4,phf1,Plot12,Shoot,P39Plate2,Plate2_C9,high,Pot52,47233,10.7628480798227,-0.955866976349238,0.808090099618993,0.0341489974560985,1.69066655228279,-0.551208634154299,1.37408424171053
Plate2,D1,d,1,L7,low-1,phr1/phl1,Plot1,Shoot,P61Plate2,Plate2_D1,low,Pot7,52101,10.8609394214152,1.51854240490514,0.115378066835766,0.00481114898259776,-0.956214358596722,-0.956381396668079,-0.434600077651417
Plate2,D4,d,4,L3,low-3,Col-0,Plot7,Shoot,P12Plate2,Plate2_D4,low,Pot3,44307,10.6988979570944,-0.0865389038759874,0.831569384257476,0.434317442004795,-0.741847722641327,1.04491200648214,-0.619223011094882
Plate2,D5,d,5,L4,low-4,Col-0,Plot10,Shoot,P66Plate2,Plate2_D5,low,Pot4,25400,10.1425044530066,-0.861857918766246,1.51565823359827,1.20948114967111,0.96488566271863,-0.355374038761307,-0.15669615513701
Plate2,D6,d,6,L31,medium-1,phf1,Plot2,Shoot,P78Plate2,Plate2_D6,medium,Pot31,33262,10.4121708832301,-0.524994404338659,-1.01754452735553,-1.65481879193737,-1.63050013033488,0.325994408141885,-0.848929002147715
Plate2,D9,d,9,L16,low-4,phf1,Plot10,Shoot,P44Plate2,Plate2_D9,low,Pot16,32635,10.3931406110693,-1.17545984886576,1.33744984587407,-0.71596704360945,0.910926006385149,0.127620714043931,0.185964727162266
Plate2,E10,e,10,L11,low-5,phr1/phl1,Plot13,Shoot,P34Plate2,Plate2_E10,low,Pot11,44448,10.7020752455541,1.03987347737056,1.40797853104808,-0.103056914722864,0.436064252991336,0.433158988867478,0.432928334934239
Plate2,E11,e,11,L48,high-6,phr1/phl1,Plot18,Shoot,P71Plate2,Plate2_E11,high,Pot48,49134,10.8023065384982,1.15402310396474,-0.714860169380596,-0.583950662858704,-0.854935149692959,1.1443858556221,-0.0210948651647199
Plate2,E8,e,8,L9,low-3,phr1/phl1,Plot7,Shoot,P54Plate2,Plate2_E8,low,Pot9,42134,10.6486102946864,1.72382053606419,1.18129664548869,0.439606493497614,0.508763101110369,0.450752256311157,-0.135300074404555
Plate2,F1,f,1,L57,low+Pi-3,Col-0,Plot7,Shoot,P6Plate2,Plate2_F1,low+Pi,Pot57,44635,10.7062735836135,-0.552499950409129,-0.889908412022823,1.02403077357044,0.876874680391819,0.597178183546134,-0.11950961534554
Plate2,F4,f,4,L6,low-6,Col-0,Plot16,Shoot,P80Plate2,Plate2_F4,low,Pot6,58536,10.9773972285639,-0.639756044091967,0.626909512614851,0.620978014159718,-0.483300288096347,0.0147294908193745,-0.787537257127276
Plate2,F6,f,6,L43,high-1,phr1/phl1,Plot3,Shoot,P24Plate2,Plate2_F6,high,Pot43,48095,10.7809335005867,1.19013954678023,0.494525701096857,0.393269635471157,1.20231224109973,0.95710413744533,-0.0490603838699232
Plate2,G1,g,1,L33,medium-3,phf1,Plot8,Shoot,P81Plate2,Plate2_G1,medium,Pot33,41461,10.6325085053323,-0.424459747492769,0.123398257546727,-0.867502177627173,0.0118337875434182,0.4089756718864,-0.472811145658793
Plate2,G10,g,10,L25,medium-1,phr1/phl1,Plot2,Shoot,P62Plate2,Plate2_G10,medium,Pot25,49303,10.8057402101064,0.497914287930095,0.680144406231824,0.712659853297425,1.13013793245962,-0.394185347617265,1.2780289233599
Plate2,G2,g,2,L8,low-2,phr1/phl1,Plot4,Shoot,P33Plate2,Plate2_G2,low,Pot8,20953,9.95003711318911,1.5598400591986,0.276095325169948,-0.251245117112905,-0.734821109203189,-1.4018085650622,-1.32149953224348
Plate2,G7,g,7,L30,medium-6,phr1/phl1,Plot17,Shoot,P79Plate2,Plate2_G7,medium,Pot30,34775,10.4566540167916,1.57925997588425,0.370069895047542,0.469059170295296,0.970147159813393,0.445630219164848,-1.61680518387546
Plate2,G8,g,8,L41,high-5,Col-0,Plot15,Shoot,P95Plate2,Plate2_G8,high,Pot41,28178,10.2462968106132,-0.323222850393277,0.34875227228325,1.44003959526627,0.576083623464107,-0.998387979982786,-1.544686353515
Plate2,H3,h,3,L13,low-1,phf1,Plot1,Shoot,P26Plate2,Plate2_H3,low,Pot13,62536,11.0434976699002,-0.0959751492299332,1.4641049282851,-1.52984791957652,0.652374417423743,1.13264371013809,-0.90952698231679
Plate2,H4,h,4,L23,medium-5,Col-0,Plot14,Shoot,P88Plate2,Plate2_H4,medium,Pot23,56466,10.9413939660868,-0.522380013410494,0.280980829216373,0.951033471265357,0.0813542050917813,-0.608776439817544,-0.311832572523836
Plate3,A5,a,5,L59,low+Pi-5,Col-0,Plot13,Shoot,P42Plate3,Plate3_A5,low+Pi,Pot59,23414,10.0610894130396,-0.313205341256149,-1.73646767338255,1.00160807991059,-0.698259945430277,-1.00300165281467,0.0684497806045893
Plate3,A6,a,6,L18,low-6,phf1,Plot16,Shoot,P9Plate3,Plate3_A6,low,Pot18,35737,10.4839418456268,-0.743784941036812,1.23051452909157,-1.34194645938819,-0.550716924368306,1.63594110398677,0.996418772766898
Plate3,B1,b,1,L24,medium-6,Col-0,Plot17,Shoot,P75Plate3,Plate3_B1,medium,Pot24,62619,11.044824025414,-1.02530919760929,0.301005358279634,0.615285156768091,-0.105380845707813,0.203982973370784,-0.434550792806973
Plate3,C2,c,2,L2,low-2,Col-0,Plot4,Shoot,P23Plate3,Plate3_C2,low,Pot2,36183,10.4963446742514,-0.578290316940365,0.9068893775979,0.446566458207511,-0.224071165592239,-0.430595228509553,0.928089682006813
Plate3,C4,c,4,L29,medium-5,phr1/phl1,Plot14,Shoot,P30Plate3,Plate3_C4,medium,Pot29,47220,10.7625728106395,0.7613809984364,-0.796195996709794,-0.154607764723857,-0.769058613166619,0.69761871286146,1.21745777941996
Plate3,D1,d,1,L1,low-1,Col-0,Plot1,Shoot,P61Plate3,Plate3_D1,low,Pot1,42793,10.664129816792,-0.506937040246625,1.54829784453706,1.71416065593396,0.932046333611715,0.443505970023965,1.67828679377204
Plate3,D2,d,2,L17,low-5,phf1,Plot13,Shoot,P25Plate3,Plate3_D2,low,Pot17,37512,10.5324161607694,-0.75865271221835,1.44342509555385,-0.695482779689999,0.130963637128098,0.0269750507435943,-0.209581735168836
Plate3,E1,e,1,L72,low+Pi-6,phf1,Plot16,Shoot,P3Plate3,Plate3_E1,low+Pi,Pot72,45712,10.7301161244706,-0.396862629147694,-1.01959713369935,-0.597091833959904,0.143340184496238,0.546905939877112,-0.689656506124742
Plate3,E4,e,4,L56,low+Pi-2,Col-0,Plot4,Shoot,P56Plate3,Plate3_E4,low+Pi,Pot56,35659,10.4817568483991,-0.644226381267528,-0.673562609893319,1.76549260220147,1.49638470104218,0.356596823831975,0.554292799428843
Plate3,F2,f,2,L67,low+Pi-1,phf1,Plot1,Shoot,P94Plate3,Plate3_F2,low+Pi,Pot67,32079,10.3759568894248,-0.615472952200297,-1.60103167212919,-1.026623251096,-0.241650234159184,-0.505142499978551,-0.20920138894195
Plate3,F4,f,4,L68,low+Pi-2,phf1,Plot4,Shoot,P80Plate3,Plate3_F4,low+Pi,Pot68,44504,10.7033343517551,-0.0328939297060916,-1.57020762323069,-1.3042639662498,-0.713356778686888,2.11840981577251,-0.604834941120628
Plate3,F6,f,6,L47,high-5,phr1/phl1,Plot15,Shoot,P24Plate3,Plate3_F6,high,Pot47,36146,10.4953215713956,1.00280386147718,0.0590293106014197,-0.0458544112224221,0.15521574164997,0.278252167460734,0.429994489110903
Plate3,G1,g,1,L15,low-3,phf1,Plot7,Shoot,P81Plate3,Plate3_G1,low,Pot15,32118,10.3771718996214,-0.512723249389231,0.569345645611323,-0.981968773747187,-0.0765406761077706,-0.627223966615239,-0.00550000849856265
Plate3,G3,g,3,L28,medium-4,phr1/phl1,Plot11,Shoot,P1Plate3,Plate3_G3,medium,Pot28,42259,10.6515726278517,0.849366177187026,-0.0470783213126084,-0.046608484829225,-0.267122115393492,0.802367842668984,0.188659013883561
Plate3,G5,g,5,L42,high-6,Col-0,Plot18,Shoot,P53Plate3,Plate3_G5,high,Pot42,42163,10.6492983381789,-0.618752314597567,0.503441892602096,1.08116011930728,0.339137347803473,-0.322005662714269,-0.128265045797578
Plate3,H3,h,3,L22,medium-4,Col-0,Plot11,Shoot,P26Plate3,Plate3_H3,medium,Pot22,40798,10.6163883395829,-0.548864331035784,-0.872598147003046,0.546957859503946,-1.20188051333857,-0.399878761114754,0.898369602089044
Plate3,H4,h,4,L55,low+Pi-1,Col-0,Plot1,Shoot,P88Plate3,Plate3_H4,low+Pi,Pot55,37855,10.5415183505374,-0.300157263228286,-1.52674916752874,0.837499365755969,-0.386556158279552,-0.114625783515424,-0.124958344861881
Plate3,H5,h,5,L19,medium-1,Col-0,Plot2,Shoot,P10Plate3,Plate3_H5,medium,Pot19,46080,10.7381342953698,0.0270801164085648,0.337400121123705,0.942158938639948,0.500362197875258,0.0681909394753811,-0.429099921212185
