Phylum,Freq,Perc,Type,Facet,Mode
Patescibacteria,1,0.002710027100271,Depleted_ShootvsSoil,ShootvsSoil,Depleted
Proteobacteria,110,0.29810298102981,Depleted_ShootvsSoil,ShootvsSoil,Depleted
Verrucomicrobia,5,0.013550135501355,Depleted_ShootvsSoil,ShootvsSoil,Depleted
Other,29,0.0785907859078591,Depleted_ShootvsSoil,ShootvsSoil,Depleted
Acidobacteria,27,0.0462328767123288,Enriched_RootvsShoot,RootvsShoot,Enriched
Actinobacteria,70,0.11986301369863,Enriched_RootvsShoot,RootvsShoot,Enriched
Bacteroidetes,101,0.172945205479452,Enriched_RootvsShoot,RootvsShoot,Enriched
Chloroflexi,45,0.0770547945205479,Enriched_RootvsShoot,RootvsShoot,Enriched
Cyanobacteria,1,0.00171232876712329,Enriched_RootvsShoot,RootvsShoot,Enriched
Firmicutes,3,0.00513698630136986,Enriched_RootvsShoot,RootvsShoot,Enriched
Gemmatimonadetes,2,0.00342465753424658,Enriched_RootvsShoot,RootvsShoot,Enriched
Patescibacteria,3,0.00513698630136986,Enriched_RootvsShoot,RootvsShoot,Enriched
Proteobacteria,293,0.501712328767123,Enriched_RootvsShoot,RootvsShoot,Enriched
Verrucomicrobia,20,0.0342465753424658,Enriched_RootvsShoot,RootvsShoot,Enriched
Other,19,0.0325342465753425,Enriched_RootvsShoot,RootvsShoot,Enriched
Acidobacteria,24,0.0488798370672098,Depleted_RootvsShoot,RootvsShoot,Depleted
Actinobacteria,159,0.323828920570265,Depleted_RootvsShoot,RootvsShoot,Depleted
Bacteroidetes,34,0.0692464358452139,Depleted_RootvsShoot,RootvsShoot,Depleted
Chloroflexi,21,0.0427698574338086,Depleted_RootvsShoot,RootvsShoot,Depleted
Cyanobacteria,28,0.0570264765784114,Depleted_RootvsShoot,RootvsShoot,Depleted
Firmicutes,12,0.0244399185336049,Depleted_RootvsShoot,RootvsShoot,Depleted
Gemmatimonadetes,3,0.00610997963340122,Depleted_RootvsShoot,RootvsShoot,Depleted
Patescibacteria,21,0.0427698574338086,Depleted_RootvsShoot,RootvsShoot,Depleted
Proteobacteria,172,0.35030549898167,Depleted_RootvsShoot,RootvsShoot,Depleted
Verrucomicrobia,14,0.0285132382892057,Depleted_RootvsShoot,RootvsShoot,Depleted
Other,3,0.00610997963340122,Depleted_RootvsShoot,RootvsShoot,Depleted
