Plate,Well,row,column,Sample,Soil,Genotype,Plot,Fraction,OTU_Header,DADA2_Header,Phosphate,Pot,Depth,LDepth
Plate1,D3,d,3,R54,high-6,phf1,Plot18,Root,P85Plate1,Plate1_D3,high,Pot54,67137,11.1144905867833
Plate1,D5,d,5,R47,high-5,phr1/phl1,Plot15,Root,P66Plate1,Plate1_D5,high,Pot47,48374,10.7867177582838
Plate1,D6,d,6,R33,medium-3,phf1,Plot8,Root,P78Plate1,Plate1_D6,medium,Pot33,64879,11.0802792756002
Plate1,E10,e,10,R25,medium-1,phr1/phl1,Plot2,Root,P34Plate1,Plate1_E10,medium,Pot25,63277,11.0552771929739
Plate1,E3,e,3,R28,medium-4,phr1/phl1,Plot11,Root,P59Plate1,Plate1_E3,medium,Pot28,39302,10.5790306871477
Plate1,E4,e,4,R26,medium-2,phr1/phl1,Plot5,Root,P56Plate1,Plate1_E4,medium,Pot26,40352,10.6053962387646
Plate1,E6,e,6,R62,low+Pi-2,phr1/phl1,Plot4,Root,P63Plate1,Plate1_E6,low+Pi,Pot62,41978,10.6449009505056
Plate1,F3,f,3,R56,low+Pi-2,Col-0,Plot4,Root,P64Plate1,Plate1_F3,low+Pi,Pot56,64914,11.0808185959156
Plate1,G1,g,1,R18,low-6,phf1,Plot16,Root,P81Plate1,Plate1_G1,low,Pot18,67344,11.1175690910104
Plate1,G11,g,11,R34,medium-4,phf1,Plot11,Root,P72Plate1,Plate1_G11,medium,Pot34,55016,10.9153793309997
Plate1,G12,g,12,R17,low-5,phf1,Plot13,Root,P45Plate1,Plate1_G12,low,Pot17,67035,11.1129701500357
Plate1,G3,g,3,R9,low-3,phr1/phl1,Plot7,Root,P1Plate1,Plate1_G3,low,Pot9,57714,10.9632550573807
Plate1,G5,g,5,R10,low-4,phr1/phl1,Plot10,Root,P53Plate1,Plate1_G5,low,Pot10,66427,11.1038588793204
Plate1,H1,h,1,R8,low-2,phr1/phl1,Plot4,Root,P35Plate1,Plate1_H1,low,Pot8,66063,11.0983641111743
Plate1,H3,h,3,R71,low+Pi-5,phf1,Plot13,Root,P26Plate1,Plate1_H3,low+Pi,Pot71,76561,11.2458430876925
Plate1,H7,h,7,R20,medium-2,Col-0,Plot5,Root,P37Plate1,Plate1_H7,medium,Pot20,62514,11.0431458106402
Plate2,A1,a,1,R31,medium-1,phf1,Plot2,Root,P4Plate2,Plate2_A1,medium,Pot31,53714,10.8914289541536
Plate2,A10,a,10,R69,low+Pi-3,phf1,Plot7,Root,P83Plate2,Plate2_A10,low+Pi,Pot69,58475,10.9763545914524
Plate2,A4,a,4,R13,low-1,phf1,Plot1,Root,P60Plate2,Plate2_A4,low,Pot13,36455,10.5038339022405
Plate2,B1,b,1,R23,medium-5,Col-0,Plot14,Root,P75Plate2,Plate2_B1,medium,Pot23,94729,11.4587754624959
Plate2,B5,b,5,R69,low+Pi-3,phf1,Plot7,Root,P40Plate2,Plate2_B5,low+Pi,Pot69,55583,10.9256326780903
Plate2,B7,b,7,R39,high-3,Col-0,Plot9,Root,P92Plate2,Plate2_B7,high,Pot39,43406,10.6783529593809
Plate2,C1,c,1,R40,high-4,Col-0,Plot12,Root,P38Plate2,Plate2_C1,high,Pot40,59720,10.9974222516531
Plate2,C11,c,11,R35,medium-5,phf1,Plot14,Root,P43Plate2,Plate2_C11,medium,Pot35,42556,10.6585761346363
Plate2,C2,c,2,R51,high-3,phf1,Plot9,Root,P23Plate2,Plate2_C2,high,Pot51,53950,10.8958129706863
Plate2,C4,c,4,R50,high-2,phf1,Plot6,Root,P30Plate2,Plate2_C4,high,Pot50,57269,10.9555147440865
Plate2,D10,d,10,R45,high-3,phr1/phl1,Plot9,Root,P18Plate2,Plate2_D10,high,Pot45,52228,10.8633740285279
Plate2,D2,d,2,R27,medium-3,phr1/phl1,Plot8,Root,P25Plate2,Plate2_D2,medium,Pot27,54601,10.9078074765836
Plate2,D8,d,8,R46,high-4,phr1/phl1,Plot12,Root,P58Plate2,Plate2_D8,high,Pot46,38986,10.5709578863061
Plate2,E12,e,12,R55,low+Pi-1,Col-0,Plot1,Root,P28Plate2,Plate2_E12,low+Pi,Pot55,50023,10.8202381786427
Plate2,E7,e,7,R57,low+Pi-3,Col-0,Plot7,Root,P67Plate2,Plate2_E7,low+Pi,Pot57,43316,10.6762773607483
Plate2,F10,f,10,R64,low+Pi-4,phr1/phl1,Plot10,Root,P19Plate2,Plate2_F10,low+Pi,Pot64,24640,10.1121264176475
Plate2,F11,f,11,R7,low-1,phr1/phl1,Plot1,Root,P48Plate2,Plate2_F11,low,Pot7,52551,10.8695394056198
Plate2,F7,f,7,R58,low+Pi-4,Col-0,Plot10,Root,P46Plate2,Plate2_F7,low+Pi,Pot58,45149,10.7177234102056
Plate2,G12,g,12,R66,low+Pi-6,phr1/phl1,Plot16,Root,P45Plate2,Plate2_G12,low+Pi,Pot66,53634,10.8899384743159
Plate2,G3,g,3,R5,low-5,Col-0,Plot13,Root,P1Plate2,Plate2_G3,low,Pot5,40363,10.6056688027259
Plate2,H1,h,1,R32,medium-2,phf1,Plot5,Root,P35Plate2,Plate2_H1,medium,Pot32,51567,10.8506372119963
Plate2,H5,h,5,R72,low+Pi-6,phf1,Plot16,Root,P10Plate2,Plate2_H5,low+Pi,Pot72,46257,10.7419680828395
Plate2,H6,h,6,R65,low+Pi-5,phr1/phl1,Plot13,Root,P91Plate2,Plate2_H6,low+Pi,Pot65,49385,10.8074020133422
Plate3,A2,a,2,R15,low-3,phf1,Plot7,Root,P16Plate3,Plate3_A2,low,Pot15,57696,10.962943126003
Plate3,A3,a,3,R21,medium-3,Col-0,Plot8,Root,P87Plate3,Plate3_A3,medium,Pot21,55106,10.9170138821346
Plate3,C1,c,1,R67,low+Pi-1,phf1,Plot1,Root,P38Plate3,Plate3_C1,low+Pi,Pot67,36423,10.5029557222121
Plate3,E2,e,2,R43,high-1,phr1/phl1,Plot3,Root,P69Plate3,Plate3_E2,high,Pot43,9036,9.10897187758789
Plate3,E3,e,3,R3,low-3,Col-0,Plot7,Root,P59Plate3,Plate3_E3,low,Pot3,37922,10.5432866975941
Plate3,F1,f,1,R60,low+Pi-6,Col-0,Plot16,Root,P6Plate3,Plate3_F1,low+Pi,Pot60,50307,10.8258995114152
Plate3,G2,g,2,R52,high-4,phf1,Plot12,Root,P33Plate3,Plate3_G2,high,Pot52,23082,10.0468083719804
Plate3,G4,g,4,R48,high-6,phr1/phl1,Plot18,Root,P11Plate3,Plate3_G4,high,Pot48,48044,10.7798725366744
Plate3,H2,h,2,R12,low-6,phr1/phl1,Plot16,Root,P77Plate3,Plate3_H2,low,Pot12,55563,10.9252727910909
