experiment,typebyTissue,condition,Rep,position,OTU_Header,ID_Matrix,Shannon,Richness
Pi,Root,10 micromolar Pi,Rep1,a1,P4Plate1Phosphate,Plate1PhosphateA1,2.78888152502322,91
Pi,Root,10 micromolar Pi,Rep1,a5,P42Plate1Phosphate,Plate1PhosphateA5,2.54816773206219,77
Pi,Root,10 micromolar Pi,Rep1,d2,P25Plate1Phosphate,Plate1PhosphateD2,2.62168315638161,91
Pi,Root,10 micromolar Pi,Rep2,g2,P33Plate1Phosphate,Plate1PhosphateG2,2.35228841580597,71
Pi,Root,10 micromolar Pi,Rep2,d8,P58Plate2Phosphate,Plate2PhosphateD8,2.42691667709067,69
Pi,Root,10 micromolar Pi,Rep2,f10,P19Plate2Phosphate,Plate2PhosphateF10,2.41966142556111,70
Pi,Shoot,10 micromolar Pi,Rep2,d4,P12Plate1Phosphate,Plate1PhosphateD4,2.55291320775437,71
Pi,Shoot,10 micromolar Pi,Rep2,f1,P6Plate1Phosphate,Plate1PhosphateF1,2.64746723767342,93
Pi,Shoot,10 micromolar Pi,Rep1,f10,P19Plate1Phosphate,Plate1PhosphateF10,2.74812660060971,85
Pi,Shoot,10 micromolar Pi,Rep1,c3,P32Plate2Phosphate,Plate2PhosphateC3,2.80342257793368,68
Pi,Shoot,10 micromolar Pi,Rep2,d7,P22Plate2Phosphate,Plate2PhosphateD7,2.46724219304465,69
Pi,Shoot,10 micromolar Pi,Rep1,h4,P88Plate2Phosphate,Plate2PhosphateH4,2.63279108916305,59
Pi,AgarNoPlant,30 micromolar Pi,Rep2,a9,P65Plate1Phosphate,Plate1PhosphateA9,2.45584586677061,78
Pi,AgarNoPlant,30 micromolar Pi,Rep1,f2,P94Plate1Phosphate,Plate1PhosphateF2,2.18401153278533,72
Pi,AgarNoPlant,30 micromolar Pi,Rep2,f4,P80Plate1Phosphate,Plate1PhosphateF4,2.40892828265333,73
Pi,AgarNoPlant,30 micromolar Pi,Rep1,g3,P1Plate1Phosphate,Plate1PhosphateG3,2.13996391848806,67
Pi,AgarNoPlant,30 micromolar Pi,Rep1,e5,P93Plate2Phosphate,Plate2PhosphateE5,1.93200665594788,43
Pi,AgarNoPlant,30 micromolar Pi,Rep2,e4,P56Plate3Phosphate,Plate3PhosphateE4,2.32649984893731,56
Pi,AgarNoPlant,30 micromolar Pi,Rep2,g3,P1Plate3Phosphate,Plate3PhosphateG3,2.50216687972897,54
Pi,AgarPlant,30 micromolar Pi,Rep2,a2,P16Plate1Phosphate,Plate1PhosphateA2,2.56522903498156,75
Pi,AgarPlant,30 micromolar Pi,Rep2,e1,P3Plate1Phosphate,Plate1PhosphateE1,2.5930935305466,68
Pi,AgarPlant,30 micromolar Pi,Rep2,f12,P15Plate1Phosphate,Plate1PhosphateF12,2.7524803874967,82
Pi,AgarPlant,30 micromolar Pi,Rep1,g4,P11Plate1Phosphate,Plate1PhosphateG4,2.13665294899416,59
Pi,AgarPlant,30 micromolar Pi,Rep1,f7,P46Plate2Phosphate,Plate2PhosphateF7,1.89558551818154,46
Pi,AgarPlant,30 micromolar Pi,Rep1,d3,P85Plate3Phosphate,Plate3PhosphateD3,2.30835497384397,55
Pi,Root,30 micromolar Pi,Rep2,c10,P74Plate1Phosphate,Plate1PhosphateC10,2.61635226443749,76
Pi,Root,30 micromolar Pi,Rep1,c4,P30Plate1Phosphate,Plate1PhosphateC4,2.49342092382646,69
Pi,Root,30 micromolar Pi,Rep2,f6,P24Plate1Phosphate,Plate1PhosphateF6,2.60965009979687,74
Pi,Root,30 micromolar Pi,Rep1,g1,P81Plate1Phosphate,Plate1PhosphateG1,2.57314368084146,90
Pi,Root,30 micromolar Pi,Rep1,d10,P18Plate2Phosphate,Plate2PhosphateD10,2.38746894144837,70
Pi,Root,30 micromolar Pi,Rep2,f2,P94Plate2Phosphate,Plate2PhosphateF2,2.52443972801821,63
Pi,Shoot,30 micromolar Pi,Rep2,a6,P9Plate1Phosphate,Plate1PhosphateA6,2.87877851210162,78
Pi,Shoot,30 micromolar Pi,Rep1,c8,P57Plate1Phosphate,Plate1PhosphateC8,2.81401185797236,74
Pi,Shoot,30 micromolar Pi,Rep2,d10,P18Plate1Phosphate,Plate1PhosphateD10,2.67040008580914,72
Pi,Shoot,30 micromolar Pi,Rep1,b1,P75Plate2Phosphate,Plate2PhosphateB1,2.98059582755152,76
Pi,Shoot,30 micromolar Pi,Rep2,b10,P49Plate2Phosphate,Plate2PhosphateB10,2.66388085726562,67
Pi,Shoot,30 micromolar Pi,Rep1,d6,P78Plate2Phosphate,Plate2PhosphateD6,2.73550169561269,64
Pi,AgarNoPlant,50 micromolar Pi,Rep1,c2,P23Plate1Phosphate,Plate1PhosphateC2,2.48383299218726,64
Pi,AgarNoPlant,50 micromolar Pi,Rep2,a11,P86Plate2Phosphate,Plate2PhosphateA11,2.5555569704011,53
Pi,AgarNoPlant,50 micromolar Pi,Rep1,d9,P44Plate2Phosphate,Plate2PhosphateD9,2.11145530923494,49
Pi,AgarNoPlant,50 micromolar Pi,Rep2,g3,P1Plate2Phosphate,Plate2PhosphateG3,2.07171907372473,46
Pi,AgarNoPlant,50 micromolar Pi,Rep2,g6,P52Plate2Phosphate,Plate2PhosphateG6,2.35346666808072,47
Pi,AgarNoPlant,50 micromolar Pi,Rep1,h7,P37Plate2Phosphate,Plate2PhosphateH7,2.02073981160026,41
Pi,AgarNoPlant,50 micromolar Pi,Rep1,c1,P38Plate3Phosphate,Plate3PhosphateC1,2.54395832019879,89
Pi,AgarPlant,50 micromolar Pi,Rep2,b3,P8Plate1Phosphate,Plate1PhosphateB3,2.63327465496653,69
Pi,AgarPlant,50 micromolar Pi,Rep1,c3,P32Plate1Phosphate,Plate1PhosphateC3,2.2261616091568,64
Pi,AgarPlant,50 micromolar Pi,Rep2,f1,P6Plate2Phosphate,Plate2PhosphateF1,2.68125879675278,53
Pi,AgarPlant,50 micromolar Pi,Rep2,g4,P11Plate2Phosphate,Plate2PhosphateG4,2.38524811495275,49
Pi,AgarPlant,50 micromolar Pi,Rep1,h8,P2Plate2Phosphate,Plate2PhosphateH8,1.92328702916722,51
Pi,AgarPlant,50 micromolar Pi,Rep1,h1,P35Plate3Phosphate,Plate3PhosphateH1,2.43504428262841,58
Pi,Root,50 micromolar Pi,Rep2,b12,P51Plate1Phosphate,Plate1PhosphateB12,2.68839102685103,81
Pi,Root,50 micromolar Pi,Rep1,b5,P40Plate1Phosphate,Plate1PhosphateB5,2.65844580350827,76
Pi,Root,50 micromolar Pi,Rep1,c1,P38Plate1Phosphate,Plate1PhosphateC1,2.65839797587924,96
Pi,Root,50 micromolar Pi,Rep2,d11,P82Plate1Phosphate,Plate1PhosphateD11,2.52423105489906,81
Pi,Root,50 micromolar Pi,Rep2,b12,P51Plate2Phosphate,Plate2PhosphateB12,2.83253905920407,67
Pi,Root,50 micromolar Pi,Rep1,g11,P72Plate2Phosphate,Plate2PhosphateG11,2.88820412601985,77
Pi,Shoot,50 micromolar Pi,Rep1,b2,P31Plate1Phosphate,Plate1PhosphateB2,2.95887235177514,93
Pi,Shoot,50 micromolar Pi,Rep1,b8,P36Plate1Phosphate,Plate1PhosphateB8,2.67933649529627,69
Pi,Shoot,50 micromolar Pi,Rep2,e7,P67Plate1Phosphate,Plate1PhosphateE7,2.98992414783167,84
Pi,Shoot,50 micromolar Pi,Rep1,a7,P84Plate2Phosphate,Plate2PhosphateA7,2.77047374461092,63
Pi,Shoot,50 micromolar Pi,Rep2,b8,P36Plate2Phosphate,Plate2PhosphateB8,2.86620060056861,70
Pi,Shoot,50 micromolar Pi,Rep2,h11,P90Plate2Phosphate,Plate2PhosphateH11,2.83675600082494,71
Pi,AgarNoPlant,100 micromolar Pi,Rep2,d8,P58Plate1Phosphate,Plate1PhosphateD8,2.53230486829551,70
Pi,AgarNoPlant,100 micromolar Pi,Rep2,f8,P50Plate1Phosphate,Plate1PhosphateF8,2.58087621966455,68
Pi,AgarNoPlant,100 micromolar Pi,Rep2,g11,P72Plate1Phosphate,Plate1PhosphateG11,2.61773722552588,78
Pi,AgarNoPlant,100 micromolar Pi,Rep1,c1,P38Plate2Phosphate,Plate2PhosphateC1,2.22360816310612,52
Pi,AgarNoPlant,100 micromolar Pi,Rep1,e8,P54Plate2Phosphate,Plate2PhosphateE8,2.3277301007749,50
Pi,AgarNoPlant,100 micromolar Pi,Rep1,g7,P79Plate2Phosphate,Plate2PhosphateG7,2.81406443296672,69
Pi,AgarNoPlant,100 micromolar Pi,Rep1,b3,P8Plate3Phosphate,Plate3PhosphateB3,2.48978412330014,62
Pi,AgarPlant,100 micromolar Pi,Rep1,c7,P27Plate1Phosphate,Plate1PhosphateC7,2.44236405541676,66
Pi,AgarPlant,100 micromolar Pi,Rep2,d7,P22Plate1Phosphate,Plate1PhosphateD7,2.80737844212825,68
Pi,AgarPlant,100 micromolar Pi,Rep2,h1,P35Plate2Phosphate,Plate2PhosphateH1,2.50099471607274,50
Pi,AgarPlant,100 micromolar Pi,Rep2,b4,P17Plate3Phosphate,Plate3PhosphateB4,2.70339478143989,58
Pi,AgarPlant,100 micromolar Pi,Rep1,f4,P80Plate3Phosphate,Plate3PhosphateF4,2.45377021702542,58
Pi,AgarPlant,100 micromolar Pi,Rep1,g1,P81Plate3Phosphate,Plate3PhosphateG1,2.61651035481317,54
Pi,Root,100 micromolar Pi,Rep1,a11,P86Plate1Phosphate,Plate1PhosphateA11,2.84196715619276,75
Pi,Root,100 micromolar Pi,Rep2,a7,P84Plate1Phosphate,Plate1PhosphateA7,2.7470566592955,74
Pi,Root,100 micromolar Pi,Rep2,c5,P70Plate1Phosphate,Plate1PhosphateC5,2.81102801112428,74
Pi,Root,100 micromolar Pi,Rep1,g12,P45Plate1Phosphate,Plate1PhosphateG12,2.74826578613705,81
Pi,Root,100 micromolar Pi,Rep2,e4,P56Plate2Phosphate,Plate2PhosphateE4,2.68154981195169,64
Pi,Root,100 micromolar Pi,Rep1,g10,P62Plate2Phosphate,Plate2PhosphateG10,2.97927230187987,66
Pi,Shoot,100 micromolar Pi,Rep2,h3,P26Plate1Phosphate,Plate1PhosphateH3,2.83836028236906,81
Pi,Shoot,100 micromolar Pi,Rep1,c5,P70Plate2Phosphate,Plate2PhosphateC5,2.92968747116165,65
Pi,Shoot,100 micromolar Pi,Rep2,f3,P64Plate2Phosphate,Plate2PhosphateF3,2.60770750537008,60
Pi,Shoot,100 micromolar Pi,Rep2,g8,P95Plate2Phosphate,Plate2PhosphateG8,2.74673966379437,56
Pi,Shoot,100 micromolar Pi,Rep1,e1,P3Plate3Phosphate,Plate3PhosphateE1,2.94784385625075,83
Pi,Shoot,100 micromolar Pi,Rep1,f1,P6Plate3Phosphate,Plate3PhosphateF1,2.77924499451125,78
Pi,AgarNoPlant,1000 micromolar Pi,Rep1,h1,P35Plate1Phosphate,Plate1PhosphateH1,2.25653723357276,73
Pi,AgarNoPlant,1000 micromolar Pi,Rep2,a4,P60Plate2Phosphate,Plate2PhosphateA4,2.09347820162408,50
Pi,AgarNoPlant,1000 micromolar Pi,Rep2,d4,P12Plate2Phosphate,Plate2PhosphateD4,2.1359348207308,52
Pi,AgarNoPlant,1000 micromolar Pi,Rep1,f5,P29Plate2Phosphate,Plate2PhosphateF5,2.20251814518735,49
Pi,AgarNoPlant,1000 micromolar Pi,Rep2,a4,P60Plate3Phosphate,Plate3PhosphateA4,2.33315541044641,58
Pi,AgarNoPlant,1000 micromolar Pi,Rep1,c2,P23Plate3Phosphate,Plate3PhosphateC2,2.9182078756491,86
Pi,AgarNoPlant,1000 micromolar Pi,Rep1,d4,P12Plate3Phosphate,Plate3PhosphateD4,2.4604109405342,58
Pi,AgarNoPlant,1000 micromolar Pi,Rep1,f2,P94Plate3Phosphate,Plate3PhosphateF2,2.38912625391716,63
Pi,AgarPlant,1000 micromolar Pi,Rep1,e6,P63Plate1Phosphate,Plate1PhosphateE6,2.34482796501475,63
Pi,AgarPlant,1000 micromolar Pi,Rep2,g9,P20Plate1Phosphate,Plate1PhosphateG9,2.46222136591801,65
Pi,AgarPlant,1000 micromolar Pi,Rep1,d5,P66Plate2Phosphate,Plate2PhosphateD5,2.14340789343638,53
Pi,AgarPlant,1000 micromolar Pi,Rep2,e10,P34Plate2Phosphate,Plate2PhosphateE10,2.46458176336891,50
Pi,AgarPlant,1000 micromolar Pi,Rep2,f8,P50Plate2Phosphate,Plate2PhosphateF8,2.57809002074407,43
Pi,AgarPlant,1000 micromolar Pi,Rep1,b2,P31Plate3Phosphate,Plate3PhosphateB2,2.41611561879114,57
Pi,Root,1000 micromolar Pi,Rep1,c6,P41Plate1Phosphate,Plate1PhosphateC6,2.83832214282542,75
Pi,Root,1000 micromolar Pi,Rep2,d3,P85Plate1Phosphate,Plate1PhosphateD3,2.80875469626135,81
Pi,Root,1000 micromolar Pi,Rep1,d9,P44Plate1Phosphate,Plate1PhosphateD9,2.89246374044873,72
Pi,Root,1000 micromolar Pi,Rep1,b2,P31Plate2Phosphate,Plate2PhosphateB2,2.83055329888573,66
Pi,Root,1000 micromolar Pi,Rep2,h9,P13Plate2Phosphate,Plate2PhosphateH9,2.70492230043526,65
Pi,Shoot,1000 micromolar Pi,Rep2,b7,P92Plate1Phosphate,Plate1PhosphateB7,2.82581396411301,76
Pi,Shoot,1000 micromolar Pi,Rep2,c9,P39Plate1Phosphate,Plate1PhosphateC9,2.91551986159231,78
Pi,Shoot,1000 micromolar Pi,Rep1,e3,P59Plate1Phosphate,Plate1PhosphateE3,2.76617715066162,85
Pi,Shoot,1000 micromolar Pi,Rep1,b4,P17Plate2Phosphate,Plate2PhosphateB4,2.6999924176316,60
Pi,Shoot,1000 micromolar Pi,Rep2,d11,P82Plate2Phosphate,Plate2PhosphateD11,2.73661698195785,62
Pi,Shoot,1000 micromolar Pi,Rep2,e9,P68Plate2Phosphate,Plate2PhosphateE9,2.74353768155225,65
Pi,Shoot,1000 micromolar Pi,Rep1,g9,P20Plate2Phosphate,Plate2PhosphateG9,2.71658499956249,66
